Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - Utah,-999,2014-05-24,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2012-04-11,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2013-03-09,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2013-03-06,36.0721,-112.148,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2014-01-03,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-03-30,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - California,6,2017-05-27,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2007-03-21,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2013-02-04,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2009-03-26,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2013-03-06,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2012-04-11,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Indiana,4,2015-04-30,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2006-03-27,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-20,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2015-05-14,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Maine,4,2012-03-22,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Maryland,4,2018-02-08,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Massachusetts,4,2017-11-12,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Michigan,5,2006-03-28,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Missouri,3,2016-08-06,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Nevada,3,2010-03-14,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - New Hampshire,3,2009-03-23,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - New Jersey,4,2007-03-20,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
